target,K,method,seed,episode,f1,auc
elqui,10,dann,42,47,0.7619047619047619,0.7
elqui,10,dann,42,48,0.8421052631578947,0.865
elqui,10,dann,42,49,0.3076923076923077,0.8
elqui,20,dann,42,0,0.8181818181818182,0.8300000000000001
elqui,20,dann,42,1,0.8181818181818182,0.855
elqui,20,dann,42,2,0.7619047619047619,0.84
elqui,20,dann,42,3,0.8,0.84
elqui,20,dann,42,4,0.8235294117647058,0.99
elqui,20,dann,42,5,1.0,1.0
elqui,20,dann,42,6,0.8235294117647058,0.9
elqui,20,dann,42,7,0.6666666666666666,0.7799999999999999
elqui,20,dann,42,8,0.7777777777777778,0.9400000000000001
elqui,20,dann,42,9,0.8571428571428571,0.93
elqui,20,dann,42,10,0.9,0.92
elqui,20,dann,42,11,0.7272727272727273,0.8799999999999999
elqui,20,dann,42,12,0.8181818181818182,0.74
elqui,20,dann,42,13,0.8695652173913043,0.89
elqui,20,dann,42,14,0.8181818181818182,0.8899999999999999
elqui,20,dann,42,15,0.7619047619047619,0.88
elqui,20,dann,42,16,0.7,0.8799999999999999
elqui,20,dann,42,17,0.9473684210526315,0.99
elqui,20,dann,42,18,0.9,0.99
elqui,20,dann,42,19,0.8333333333333334,0.97
elqui,20,dann,42,20,0.7777777777777778,0.88
elqui,20,dann,42,21,0.9,0.93
elqui,20,dann,42,22,0.8571428571428571,0.95
elqui,20,dann,42,23,0.7619047619047619,0.91
elqui,20,dann,42,24,0.8888888888888888,0.95
elqui,20,dann,42,25,0.8,0.91
elqui,20,dann,42,26,0.7619047619047619,0.77
elqui,20,dann,42,27,0.7619047619047619,0.89
elqui,20,dann,42,28,0.75,0.84
elqui,20,dann,42,29,0.8181818181818182,0.89
elqui,20,dann,42,30,0.8888888888888888,0.98
elqui,20,dann,42,31,0.7058823529411765,0.9400000000000001
elqui,20,dann,42,32,0.75,0.8499999999999999
elqui,20,dann,42,33,0.6363636363636364,0.74
elqui,20,dann,42,34,0.9,0.8800000000000001
elqui,20,dann,42,35,0.7777777777777778,0.9
elqui,20,dann,42,36,0.8888888888888888,0.96
elqui,20,dann,42,37,0.9473684210526315,1.0
elqui,20,dann,42,38,0.8421052631578947,0.9500000000000001
elqui,20,dann,42,39,0.7777777777777778,0.9
elqui,20,dann,42,40,0.6666666666666666,0.8
elqui,20,dann,42,41,0.7,0.78
elqui,20,dann,42,42,1.0,1.0
elqui,20,dann,42,43,0.8421052631578947,0.88
elqui,20,dann,42,44,0.8235294117647058,0.96
elqui,20,dann,42,45,0.9523809523809523,0.93
elqui,20,dann,42,46,0.7272727272727273,0.8099999999999999
elqui,20,dann,42,47,0.8421052631578947,0.93
elqui,20,dann,42,48,0.9523809523809523,0.9500000000000001
elqui,20,dann,42,49,0.8,0.92
limari,1,dann,42,0,0.6666666666666666,0.5
limari,1,dann,42,1,0.18181818181818182,0.8300000000000001
limari,1,dann,42,2,0.5714285714285714,0.61
limari,1,dann,42,3,0.5333333333333333,0.8300000000000001
limari,1,dann,42,4,0.72,0.6
limari,1,dann,42,5,0.6363636363636364,0.71
limari,1,dann,42,6,0.6896551724137931,0.48
limari,1,dann,42,7,0.6666666666666666,0.86
limari,1,dann,42,8,0.6363636363636364,0.64
limari,1,dann,42,9,0.64,0.47500000000000003
limari,1,dann,42,10,0.64,0.45000000000000007
limari,1,dann,42,11,0.4444444444444444,0.64
limari,1,dann,42,12,0.8,0.59
limari,1,dann,42,13,0.6666666666666666,0.72
limari,1,dann,42,14,0.6363636363636364,0.65
limari,1,dann,42,15,0.42857142857142855,0.69
limari,1,dann,42,16,0.42857142857142855,0.87
limari,1,dann,42,17,0.6363636363636364,0.58
limari,1,dann,42,18,0.3157894736842105,0.41000000000000003
limari,1,dann,42,19,0.5714285714285714,0.64
limari,1,dann,42,20,0.5714285714285714,0.31000000000000005
limari,1,dann,42,21,0.375,0.53
limari,1,dann,42,22,0.56,0.53
limari,1,dann,42,23,0.36363636363636365,0.48
limari,1,dann,42,24,0.5333333333333333,0.9
limari,1,dann,42,25,0.8181818181818182,0.75
limari,1,dann,42,26,0.47058823529411764,0.71
limari,1,dann,42,27,0.4,0.725
limari,1,dann,42,28,0.45454545454545453,0.38
limari,1,dann,42,29,0.5925925925925926,0.6499999999999999
